Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220nF,C_0603_1608Metric,90.725,-71.5,180.0,top
D1,LED,LED_0603_1608Metric,105.7125,-79.5,0.0,top
R1,47,R_0603_1608Metric,94.725,-71.5,0.0,top
U1,NT3H2111W0FHKH,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,90.7,-74.4,180.0,top
