Comment,Designator,Footprint,LCSC,Quantity
220nF,C1,C_0603_1608Metric,C21120,1
47,R1,R_0603_1608Metric,C23182,1
LED,D1,LED_0603_1608Metric,C2286,1
NT3H2111W0FHKH,U1,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,C710403,1
